# R=1e-05
# T=300
# R/L, L (in m), E (in J), E_pfa (in J), 1-E/E_PFA
400, 2.5e-08, -7.82387219758e-18, -7.85512833823e-18, 0.00397907447236
373.831775701, 2.675e-08, -7.0602091582e-18, -7.09024887018e-18, 0.00423676411481
350.877192982, 2.85e-08, -6.40933151916e-18, -6.43824830006e-18, 0.00449140504492
330.578512397, 3.025e-08, -5.84933153119e-18, -5.87720769488e-18, 0.00474309657385
312.5, 3.2e-08, -5.36348149087e-18, -5.39038982644e-18, 0.0049919090151
296.296296296, 3.375e-08, -4.93881115005e-18, -4.96481662746e-18, 0.00523795325437
281.690140845, 3.55e-08, -4.56512548956e-18, -4.59028631451e-18, 0.00548131929603
268.456375839, 3.725e-08, -4.23431185351e-18, -4.25868047509e-18, 0.00572210611141
256.41025641, 3.9e-08, -3.93984278605e-18, -3.96346667992e-18, 0.00596041187807
245.398773006, 4.075e-08, -3.67641331789e-18, -3.69933560608e-18, 0.00619632567229
235.294117647, 4.25e-08, -3.43967236235e-18, -3.46193236885e-18, 0.00642993684812
225.988700565, 4.425e-08, -3.22602117554e-18, -3.24765492057e-18, 0.0066613435107
217.391304348, 4.6e-08, -3.03246038063e-18, -3.05350091882e-18, 0.00689062775659
209.42408377, 4.775e-08, -2.85647234022e-18, -2.87695008853e-18, 0.00711786707455
202.02020202, 4.95e-08, -2.69592986584e-18, -2.71587291967e-18, 0.00734314690502
195.12195122, 5.125e-08, -2.54902474789e-18, -2.56845911903e-18, 0.00756654875004
188.679245283, 5.3e-08, -2.41421127523e-18, -2.43316104438e-18, 0.00778812778769
182.648401826, 5.475e-08, -2.29016103132e-18, -2.30864861542e-18, 0.00800796794307
176.991150442, 5.65e-08, -2.17572681095e-18, -2.19377309345e-18, 0.00822613904839
171.673819742, 5.825e-08, -2.06991333852e-18, -2.08753777847e-18, 0.00844269269182
166.666666667, 6e-08, -1.97185331736e-18, -1.98907414112e-18, 0.00865770833162
161.943319838, 6.175e-08, -1.88078802121e-18, -1.8976222596e-18, 0.00887122729259
157.480314961, 6.35e-08, -1.79605104389e-18, -1.8125146887e-18, 0.00908331662581
153.256704981, 6.525e-08, -1.71705502294e-18, -1.73316308617e-18, 0.009294026257
149.253731343, 6.7e-08, -1.64328045143e-18, -1.65904706496e-18, 0.00950341546367
145.454545455, 6.875e-08, -1.57426640674e-18, -1.58970485537e-18, 0.00971151882342
141.843971631, 7.05e-08, -1.50960260521e-18, -1.52472544541e-18, 0.00991840219076
138.408304498, 7.225e-08, -1.44892288047e-18, -1.46374193795e-18, 0.010124091621
135.135135135, 7.4e-08, -1.39189942389e-18, -1.40642590906e-18, 0.0103286529872
132.01320132, 7.575e-08, -1.33823811016e-18, -1.35248260056e-18, 0.0105321062128
129.032258065, 7.75e-08, -1.28767427262e-18, -1.3016468057e-18, 0.01073450418
126.1829653, 7.925e-08, -1.23996924373e-18, -1.25367933592e-18, 0.0109358843161
123.456790123, 8.1e-08, -1.19490729053e-18, -1.20836397589e-18, 0.0111362847901
120.84592145, 8.275e-08, -1.15229299301e-18, -1.16550485006e-18, 0.0113357375198
118.343195266, 8.45e-08, -1.11194895141e-18, -1.12492413962e-18, 0.0115342784056
115.942028986, 8.625e-08, -1.07371382442e-18, -1.08646009423e-18, 0.0117319263515
113.636363636, 8.8e-08, -1.03744053709e-18, -1.04996529899e-18, 0.011928738891
111.420612813, 8.975e-08, -1.00299484622e-18, -1.0153051561e-18, 0.0121247388503
109.289617486, 9.15e-08, -9.70253983594e-19, -9.8235655394e-19, 0.0123199364803
107.238605898, 9.325e-08, -9.39105425959e-19, -9.51006695772e-19, 0.012514391188
105.263157895, 9.5e-08, -9.09445979117e-19, -9.21152066859e-19, 0.0127080947468
103.359173127, 9.675e-08, -8.8118072895e-19, -8.92697521506e-19, 0.0129011140704
101.52284264, 9.85e-08, -8.54222381886e-19, -8.65555474173e-19, 0.0130934326278
99.7506234414, 1.0025e-07, -8.28490410519e-19, -8.39645181344e-19, 0.0132851007454
98.0392156863, 1.02e-07, -8.03910494781e-19, -8.14892101997e-19, 0.0134761487919
96.3855421687, 1.0375e-07, -7.80413960215e-19, -7.91227328373e-19, 0.0136665756729
94.7867298578, 1.055e-07, -7.57937214077e-19, -7.68587076534e-19, 0.0138564162491
93.2400932401, 1.0725e-07, -7.36421328119e-19, -7.46912230334e-19, 0.0140456961193
91.7431192661, 1.09e-07, -7.15811634441e-19, -7.26147933419e-19, 0.0142344259365
90.2934537246, 1.1075e-07, -6.96057337711e-19, -7.06243221291e-19, 0.0144226284561
